avg_q_to_ctx_similarity,max_q_to_ctx_similarity,avg_gt_to_ctx_similarity,max_gt_to_ctx_similarity,retrieval_diversity,avg_bm25_score,max_bm25_score,ndcg@k,context_relevance,context_coverage,semantic_similarity,answer_question_relevance,rouge1_f,rouge2_f,rougeL_f,bert_score_precision,bert_score_recall,bert_score_f1,answer_length,length_ratio,key_term_coverage,faithfulness_score,min_sentence_support,unsupported_sentences,is_relevant,should_answer,correct_abstention,incorrect_abstention,hallucination,question,category,generated_answer
0.7019371390342712,0.7596172094345093,0.6719839572906494,0.7780253887176514,0.3005655209223429,0.15648996519729677,0.19938341746355806,1.0,1.0,0.7780253887176514,0.814044713973999,0.8254727721214294,0.05190311418685121,0.034722222222222224,0.04498269896193771,0.8819612264633179,0.719158411026001,0.7922828793525696,15,0.025996533795493933,0.12,0.5056474506855011,0.2736057639122009,1,1,1,0,0,0,What causes Hypothyroidism ?,Endocrine/Metabolic,Autoimmune disease. The most common cause of hypothyroidism is an autoimmune disease called Hashimoto's disease.
0.5030511915683746,0.5428909063339233,0.542855421702067,0.6074470281600952,0.3644085923830668,0.8558465631471722,1.5318707403764398,0.9459361102397645,1.0,0.6074470281600952,0.7104673385620117,0.7412074208259583,0.3434343434343434,0.04067796610169491,0.1750841750841751,0.8372625112533569,0.8437326550483704,0.8404850959777832,141,0.8924050632911392,0.3611111111111111,0.2613788334652781,-0.059612732380628586,8,1,1,0,0,0,what research (or clinical trials) is being done for Osteoporosis ?,Musculoskeletal,"There are several ongoing clinical trials investigating the treatment of osteoporosis:

1. The Women’s Osteoporosis Prevention Trial (WOPP): This study has been studying the effectiveness of hormone replacement therapy (HRT) in reducing fracture risk in postmenopausal women at high risk for osteoporotic fractures.

2. The Bone Loss Prevention Study (BLPS): This trial aims to assess whether low-dose bisphosphonates can reduce the rate of bone loss in older adults who do not currently take drugs that protect against bone loss.

3. The Global Osteoporosis Prospective Study (GOPS): This international study is designed to understand which factors increase or decrease the risk of developing osteoporosis, including genetic, lifestyle, and environmental factors.

4. The National Osteoporosis Foundation: They offer resources and support groups to help individuals with osteoporosis manage symptoms and improve quality of life.

5. The International Osteoporosis Foundation: They provide information and"
0.6238528887430826,0.66131591796875,0.6111394762992859,0.6793837547302246,0.36972536643346154,0.20874465744034598,0.22426475993528958,0.995636721758641,1.0,0.6793837547302246,0.6292364001274109,0.6551761031150818,0.11249999999999999,0.0438871473354232,0.08124999999999999,0.8348003029823303,0.6955359578132629,0.7588314414024353,53,0.09153713298791019,0.1,0.6381025115648905,0.6297279596328735,0,1,1,0,0,0,Who is at risk for Lung Cancer? ?,Respiratory,"People who smoke have the greatest risk of lung cancer. Smoking increases the risk of lung cancer by causing damage to the lungs and increasing the production of harmful substances like carbon monoxide and polycyclic aromatic hydrocarbons. Quitting smoking, even after smoking for many years, significantly lowers the chances of developing lung cancer."
0.6152019699414571,0.6507173180580139,0.44927361607551575,0.5074807405471802,0.23062141736348474,0.1415187787332742,0.16500565925893224,1.0,0.3333333333333333,0.5074807405471802,0.44575464725494385,0.7135038375854492,0.3068783068783069,0.09574468085106384,0.15873015873015872,0.8215144872665405,0.8230559825897217,0.8222845196723938,137,0.5637860082304527,0.2702702702702703,0.3847624521702528,-0.047650497406721115,6,1,1,0,0,0,What is (are) Urinary Tract Infections in Children ?,Kidney/Renal,"Urinary tract infections in children can occur due to various reasons such as bacterial, viral, or fungal infections. Some common causes include:

1. Bacterial Infections:
   - Urethritis: An infection of the urethra, which is the opening at the end of the penis where urine exits.
   - Prostatitis: An inflammation of the prostate gland, a small gland located near the base of the penis and the bladder neck.
   - Chlamydia or Gonorrhea: These are sexually transmitted diseases that can affect the urethra and/or the bladder.
   - Urinary tract infections caused by bacteria in the urine itself (nephrolithiasis), particularly in children with kidney stones.

2. Viral Infections:
   - Genital herpes: An infection that can lead to painful urination and swelling in the genital area.
   - Urogenital Herpes: Another name for genital herpes, affecting the genitals, anus, or rectum.

3"
0.6479026476542155,0.6634538173675537,0.557140568892161,0.5854186415672302,0.3336171507835388,0.44951997667351246,0.6737451962055833,0.984298038739657,1.0,0.5854186415672302,0.8387507200241089,0.7556552290916443,0.2044728434504792,0.064034151547492,0.11714589989350374,0.8476839065551758,0.8054748177528381,0.826040506362915,156,0.20445609436435125,0.52,0.1795777603983879,-0.16158640384674072,9,1,1,0,0,0,How to diagnose Pulmonary Embolism ?,Cardiovascular,"To diagnose pulmonary embolism (PE), healthcare professionals typically conduct a thorough medical evaluation. This includes:

1. Medical history: A detailed review of past medical conditions and current health status helps identify risk factors for PE such as smoking, obesity, diabetes, advanced age, cancer, certain types of surgery, and long-term use of blood thinners.
2. Physical examination: Healthcare providers might palpate the chest area for signs of a large, firm, painful mass, especially in the upper back and sides. They will listen to your heart and lungs and check your breathing patterns.
3. Laboratory tests:
   - Blood tests: These measure levels of certain proteins and clotting factors in your blood, which indicate blood clots and help distinguish between PE and other causes of dyspnea and chest discomfort.
   - Imaging studies: Chest X-ray and CT scans can show signs of a PE. Chest computed tomography angiography (CTA) can provide more detailed images and is considered the gold standard"
0.6701315442721049,0.73816978931427,0.5643978814284006,0.6276489496231079,0.2583072781562805,0.5375017122666241,0.7925290373005699,1.0,0.6666666666666666,0.6276489496231079,0.5537387728691101,0.6879245042800903,0.26382978723404255,0.05150214592274678,0.1702127659574468,0.8253245949745178,0.8568773865699768,0.8408050537109375,165,2.391304347826087,0.2,0.46661466360092163,0.1879582405090332,3,1,1,0,0,0,What is (are) Lung Cancer ?,Respiratory,"Lung cancer is a type of cancer that originates from the lining of the lungs. It affects the respiratory system and can cause various symptoms and complications if left untreated. The primary symptom of lung cancer is often a persistent cough that does not go away. Other common symptoms include shortness of breath, chest pain, hoarseness, and fatigue. These symptoms can occur anywhere along the path of lung cancer, including the lungs themselves or spread to other parts of the body through the bloodstream or lymphatic system. The diagnosis of lung cancer involves several steps, including a thorough medical history review, physical examination, imaging tests such as X-rays, CT scans, or MRI, and possibly biopsies to confirm the presence of cancer cells. Treatment options vary depending on the stage of the cancer and personal health conditions but can include surgery, radiation therapy, chemotherapy, immunotherapy, targeted therapy, or a combination of these approaches. The Mayo Clinic provides comprehensive care and resources for individuals with lung cancer."
0.6122635205586752,0.6971146464347839,0.42905178666114807,0.5756680965423584,0.39278465509414673,0.6139716444299519,1.8419149332898557,0.9163014837654326,0.3333333333333333,0.5756680965423584,0.5307459831237793,0.7235341668128967,0.2267515923566879,0.06385696040868455,0.11210191082802547,0.8248881101608276,0.8066627383232117,0.8156737089157104,151,0.2396825396825397,0.3404255319148936,0.3917231378145516,-0.027009550482034683,7,1,1,0,0,0,What is (are) Kidney Disease ?,Kidney/Renal,"Kidney disease refers to any disorder that affects the function of one or more parts of the kidney. It can be categorized into various types based on the specific organ involved and its primary cause. Some common forms of kidney disease include:

1. **Urinary Tract Infections**: These infections typically occur due to bacteria or yeast, and they may lead to symptoms like frequent urination, pain during urination, fever, or cloudy urine. They are often treated with antibiotics.

2. **Chronic Kidney Disease (CKD)**: This type of kidney disease progresses slowly over time and results from long-term kidney damage. It can be caused by high blood pressure, diabetes, heart failure, or glomerular disease. CKD stages range from mild (Stage 1) to severe (Stage 5).

3. **Nephrotic Syndrome**: This is a group of conditions characterized by high levels of protein in the urine and low levels of albumin in the blood. The underlying cause"
0.3746190369129181,0.42762652039527893,0.4865657687187195,0.5439066886901855,0.6058054963747661,0.3754267873744103,0.6390636966764371,1.0,0.6666666666666666,0.5439066886901855,0.6704563498497009,0.8486589193344116,0.22222222222222227,0.051020408163265314,0.1414141414141414,0.8763262033462524,0.8262566328048706,0.8505551815032959,38,0.2375,0.11627906976744186,0.42065446575482685,0.405025839805603,3,0,1,0,0,1,Is Breast Cancer inherited ?,Unrelated,"Yes, breast cancer is also classified into types based on the kinds of cells found in the tumor. The type of breast cancer is considered in determining your treatment and prognosis. So yes, breast cancer can be inherited."
0.659270445505778,0.6973769664764404,0.5623143215974172,0.7576795816421509,0.30487191677093506,0.08877987473288695,0.11115634332073954,0.8990164712082566,0.3333333333333333,0.7576795816421509,0.6054072380065918,0.6947035789489746,0.3015075376884422,0.03045685279187817,0.17085427135678394,0.8537436723709106,0.768661618232727,0.8089717030525208,95,0.8962264150943396,0.3125,0.49804881811141966,0.32926905155181885,2,1,1,0,0,0,What is (are) Gallstones ?,Gastrointestinal,"Gallstones are hard, solid deposits of digestive liquid that form in your gallbladder. These stones are typically made up of cholesterol, bile salts, and calcium salts. Gallstones can be formed when excess cholesterol or bile salts accumulate in the gallbladder. If gallstones become too large or obstruct the flow of bile to the small intestine, they can cause symptoms like abdominal pain, nausea, vomiting, and diarrhea. In some cases, gallstones can lead to more severe conditions like pancreatitis, which occurs when the inflamed pancreas produces enzymes that attack the lining of the stomach and duodenum."
0.3844415048758189,0.39349472522735596,0.25204508503278095,0.26210325956344604,0.3832876682281494,0.1702752079219969,0.5108256237659907,1.0,0.0,0.26210325956344604,0.7641652822494507,0.7383837699890137,0.25550660792951546,0.06222222222222222,0.16740088105726872,0.8091441988945007,0.8620499968528748,0.8347596526145935,125,1.288659793814433,0.35,0.22342021132890993,0.11629042774438858,13,1,1,0,0,0,What is (are) Wilson Disease ?,Endocrine/Metabolic,"Wilson's disease is a genetic disorder caused by a mutation in the ATP7B gene, which encodes for a protein called Biliary acid transport regulator 1 (BATR1). This mutation leads to a deficiency in the enzyme beta-glucuronidase, resulting in accumulation of copper within the liver, kidneys, brain, and other tissues. The symptoms of Wilson's disease include:
1. Nausea and vomiting
2. Fatigue and weakness
3. Skin changes, including yellowish discoloration (jaundice)
4. Hair loss (telangiectasia)
5. Abnormal liver function tests (e.g., elevated bilirubin levels, decreased albumin levels)
6. Muscle weakness, tremors, or seizures
7. Mental changes, including confusion or memory problems
8. Cognitive difficulties, difficulty learning or remembering things
9. Vision problems
10. Digestive issues, such as diarrhea or constipation

In addition to these physical symptoms"
