avg_q_to_ctx_similarity,max_q_to_ctx_similarity,avg_gt_to_ctx_similarity,max_gt_to_ctx_similarity,retrieval_diversity,avg_bm25_score,max_bm25_score,semantic_similarity,answer_question_relevance,rouge1_f,rouge2_f,rougeL_f,bert_score_precision,bert_score_recall,bert_score_f1,is_relevant,should_answer,correct_abstention,incorrect_abstention,hallucination,question,category,confidence_score,retrieval_confidence,answer_confidence
0.44511033097902936,0.4754354953765869,0.39342885216077167,0.42511340975761414,0.5852532784144084,0.22341639277487876,0.6702491783246363,0.3234405517578125,0.273483008146286,0.0673813169984686,0.003072196620583717,0.03675344563552833,0.786247968673706,0.7298216819763184,0.7569847702980042,True,False,False,True,False,What causes Hypothyroidism ?,Endocrine/Metabolic,0.4742113,0.4742113,0.0
0.64515487353007,0.6533141136169434,0.5774954954783121,0.5905258655548096,0.08016041914621985,0.15087676651316181,0.45263029953948547,0.6982461810112,0.845740795135498,0.23487544483985764,0.05734767025089605,0.15658362989323843,0.8227386474609375,0.81146639585495,0.8170636296272278,True,True,False,False,False,what research (or clinical trials) is being done for Osteoporosis ?,Musculoskeletal,0.6395488,0.5849333,0.6941642999649048
0.6613005002339681,0.686722993850708,0.6738284230232239,0.7257419228553772,0.24407100677490234,0.4214198335294288,1.2011838117301412,0.6818522214889526,0.731621503829956,0.31778058007566207,0.08849557522123895,0.15384615384615385,0.8211514353752136,0.7274035215377808,0.7714398503303528,True,True,False,False,False,Who is at risk for Lung Cancer? ?,Respiratory,0.72890615,0.59643954,0.8613727927207946
0.43950748443603516,0.44655823707580566,0.10778402040402095,0.2662678062915802,0.6423071225484211,0.3277254788929775,0.6075693603804098,0.20046892762184143,0.31051361560821533,0.05934718100890208,0.005970149253731344,0.04154302670623145,0.7663743495941162,0.7659399509429932,0.7661570906639099,True,False,False,True,False,What is (are) Urinary Tract Infections in Children ?,Kidney/Renal,0.47149166,0.47149166,0.0
0.4446960985660553,0.4534454941749573,0.39224254091580707,0.4440629482269287,0.18469570080439246,0.0,0.0,0.26607924699783325,0.2029436081647873,0.041189931350114416,0.004587155963302753,0.02517162471395881,0.7803817987442017,0.719478189945221,0.7486934661865234,True,False,False,True,False,How to diagnose Pulmonary Embolism ?,Cardiovascular,0.47381544,0.47381544,0.0
0.6940770943959554,0.721454381942749,0.5268358290195465,0.5994218587875366,0.38532366355260217,0.44158449920942905,0.6869774499343125,0.5448690056800842,0.731501579284668,0.19767441860465118,0.04093567251461988,0.13953488372093023,0.8036144971847534,0.8442328572273254,0.8234230279922485,True,True,False,False,False,What is (are) Lung Cancer ?,Respiratory,0.71438444,0.62086195,0.8079068422317505
0.5597430864969889,0.572899341583252,0.48988619446754456,0.5641289949417114,0.48167183001836145,0.2551262290124355,0.5455981053092027,0.5687693357467651,0.7278866767883301,0.33410138248847926,0.09930715935334872,0.1566820276497696,0.8277804255485535,0.823238730430603,0.8255033493041992,True,True,False,False,False,What is (are) Kidney Disease ?,Kidney/Renal,0.6725471,0.53185827,0.8132359623908996
0.6716699202855428,0.7131725549697876,0.7210643688837687,0.7778187990188599,0.3940776983896891,0.2962005279127068,0.6021146856776696,0.7855273485183716,0.7985215187072754,0.41379310344827586,0.09090909090909091,0.1939655172413793,0.8359008431434631,0.8572324514389038,0.8464322090148926,False,True,False,False,True,Is Breast Cancer inherited ?,Unrelated,0.7328142,0.60442394,0.86120445728302
0.396952748298645,0.42973095178604126,0.38199840982755023,0.42127370834350586,0.35533905029296875,0.2504047175323484,0.7512141525970452,0.2056005895137787,0.26136514544487,0.0923076923076923,0.02072538860103627,0.061538461538461535,0.7861933708190918,0.7555382251739502,0.7705610394477844,True,False,False,True,False,What is (are) Gallstones ?,Gastrointestinal,0.4534963,0.4534963,0.0
0.5608438650767008,0.5961228013038635,0.6262473464012146,0.7928280234336853,0.5372803409894307,0.4566392844841685,0.7969647889582187,0.8448476195335388,0.7693012952804565,0.3254437869822485,0.10714285714285716,0.15384615384615385,0.8067036867141724,0.8512723445892334,0.8283889889717102,True,True,False,False,False,What is (are) Wilson Disease ?,Endocrine/Metabolic,0.6922214,0.53316575,0.8512770414352417
0.5292753378550211,0.6229439973831177,0.44560903310775757,0.4926876425743103,0.5713500380516052,0.5192201468827466,1.1619334576646667,0.6863282918930054,0.7225316762924194,0.3515439429928741,0.07637231503579951,0.171021377672209,0.8364922404289246,0.7848214507102966,0.8098334670066833,True,True,False,False,False,What causes Cystic Fibrosis ?,Respiratory,0.6700709,0.51763445,0.8225072979927063
0.6618383129437765,0.6683704853057861,0.5982234279314677,0.6458381414413452,0.3415553172429403,0.3042676050530034,0.7724097506672034,0.7786599397659302,0.797981858253479,0.4355179704016913,0.08492569002123142,0.16067653276955604,0.8317195177078247,0.846894383430481,0.8392384052276611,True,True,False,False,False,what research (or clinical trials) is being done for Epilepsy ?,Neurological,0.7139213,0.5965683,0.8312742948532104
0.43877623478571576,0.44335639476776123,0.3002169132232666,0.4387466311454773,0.4420643051465353,0.14430102366270922,0.4329030709881277,0.20867305994033813,0.22938337922096252,0.03815937149270483,0.006749156355455569,0.02693602693602694,0.7789887189865112,0.7588789463043213,0.7688023447990417,True,False,False,True,False,How to diagnose Urinary Tract Infections in Children ?,Kidney/Renal,0.47116128,0.47116128,0.0
0.5412146548430125,0.5785454511642456,0.5130009651184082,0.5220369100570679,0.4755769371986389,0.3271613678326222,0.7001690498234098,0.6421245336532593,0.6792705059051514,0.3468950749464668,0.07741935483870968,0.14132762312633834,0.8171161413192749,0.7172200679779053,0.7639161944389343,True,True,False,False,False,Who is at risk for Heart Attack? ?,Cardiovascular,0.6652639,0.522136,0.8083917617797851
0.672695517539978,0.7014312744140625,0.4985395669937134,0.5273808240890503,0.2971830566724142,0.388146459618244,1.1441416925243748,0.4651005268096924,0.6499298214912415,0.16666666666666669,0.030534351145038167,0.11363636363636363,0.8025060296058655,0.8394622802734375,0.820568323135376,True,True,False,False,False,What is (are) Colorectal Cancer ?,Gastrointestinal,0.69503635,0.60474914,0.7853235483169556
0.3881567219893138,0.40896087884902954,0.3475974251826604,0.4937538802623749,0.49411141872406006,0.31141927516511436,0.5232176200298556,0.058576274663209915,0.11301480233669281,0.07246376811594202,0.0,0.04347826086956521,0.7740981578826904,0.8085219264030457,0.7909356355667114,False,False,True,False,False,What causes Dry Eye ?,Unrelated,0.449833,0.449833,0.0
0.5597430864969889,0.572899341583252,0.5531736811002096,0.6847041845321655,0.48167183001836145,0.2551262290124355,0.5455981053092027,0.6180880069732666,0.7538701295852661,0.2444444444444444,0.027932960893854747,0.13333333333333333,0.8125843405723572,0.8638169765472412,0.8374177813529968,True,True,False,False,False,What is (are) Kidney Disease ?,Kidney/Renal,0.67476106,0.53185827,0.817663860321045
0.5738432208697001,0.6089367270469666,0.4094938139120738,0.4326651096343994,0.36185136437416077,0.29147123201057895,0.7362769568431834,0.5451502799987793,0.7147361040115356,0.07207207207207207,0.0,0.04504504504504505,0.7847821712493896,0.8237515091896057,0.803794801235199,True,True,False,False,False,What is (are) High Blood Cholesterol ?,Cardiovascular,0.65971357,0.5403016,0.7791254997253418
